Transaction_ID,date,time ,time frame ,FastagID,TollBoothID,Lane_Type,Vehicle_Dimensions,Transaction_Amount,Amount_paid,Geographical_Location,Vehicle_Speed,Vehicle_Plate_Number,Fraud_indicator,Numberic fraud,,,
743,10/16/2023,08:15,Morning,FTG-023-NMK-222,C-103,Express,Large,290,90,"13.042660878688794, 77.47580097259879",46,KA41WX6489,Fraud,1,,,
744,11/23/2023,00:00,#N/A,FTG-330-ABC-392,A-101,Regular,Small,60,60,"13.042660878688794, 77.47580097259879",58,KA44YZ0122,Not Fraud,0,,,
745,12/28/2023,02:15,Midnight,,D-106,Regular,Small,0,0,"13.042660878688794, 77.47580097259879",53,KA47AB2345,Not Fraud,0,,,
746,02-12-2023 00:00,04:30,Midnight,FTG-126-PLM-131,C-103,Regular,Large,290,90,"13.042660878688794, 77.47580097259879",47,KA50CD6789,Fraud,1,,,
747,3/18/2023,06:45,Morning,FTG-680-DEF-850,B-102,Express,Medium,110,60,"13.042660878688794, 77.47580097259879",20,KA53EF0123,Fraud,1,,,
748,4/23/2023,09:00,Morning,FTG-128-WSX-861,A-101,Regular,Medium,100,100,"13.042660878688794, 77.47580097259879",21,KA56GH4567,Not Fraud,0,,,
749,5/29/2023,11:15,Morning,FTG-250-HGT-120,B-102,Express,Large,130,130,"13.042660878688794, 77.47580097259879",22,KA59IJ8901,Not Fraud,0,,,
750,07-03-2023 00:00,13:30,Afternoon,FTG-130-LPO-261,C-103,Regular,Large,290,90,"13.042660878688794, 77.47580097259879",23,KA62KL2445,Fraud,1,,,
751,08-08-2023 00:00,15:45,Afternoon,FTG-510-UVW-690,A-101,Express,Small,60,60,"13.042660878688794, 77.47580097259879",24,KA65MN6489,Not Fraud,0,,,
752,9/13/2023,18:00,Afternoon,,D-106,Regular,Small,0,0,"13.042660878688794, 77.47580097259879",25,KA68OP4123,Not Fraud,0,,,
753,10/18/2023,20:15,Evening,FTG-133-JOP-362,C-103,Express,Large,290,290,"13.042660878688794, 77.47580097259879",26,AP71QR4567,Not Fraud,0,,,
754,11/23/2023,22:30,Evening,FTG-510-MNO-262,B-102,Regular,Medium,110,110,"13.042660878688794, 77.47580097259879",27,AP74ST8901,Not Fraud,0,,,
755,12/29/2023,00:45,Midnight,FTG-760-MNO-250,A-101,Express,Medium,100,100,"13.042660878688794, 77.47580097259879",28,AP77UV2345,Not Fraud,0,,,
756,2/13/2023,03:00,Midnight,FTG-512-ZXC-662,B-102,Regular,Large,130,130,"13.042660878688794, 77.47580097259879",29,AP80WX6789,Not Fraud,0,,,
757,3/19/2023,05:15,Midnight,FTG-513-POI-372,C-103,Express,Large,290,290,"13.042660878688794, 77.47580097259879",30,AP83YZ0123,Not Fraud,0,,,
758,4/24/2023,07:30,Morning,FTG-514-KJH-082,A-101,Regular,Small,60,60,"13.042660878688794, 77.47580097259879",31,KA86AB2145,Not Fraud,0,,,
759,5/30/2023,09:45,Morning,,D-106,Regular,Small,0,0,"13.042660878688794, 77.47580097259879",32,KA89CD6799,Not Fraud,0,,,
760,07-04-2023 00:00,12:00,Morning,FTG-516-NBH-421,C-103,Regular,Large,290,290,"13.042660878688794, 77.47580097259879",33,KA92EF0143,Not Fraud,0,,,
761,08-09-2023 00:00,14:15,Afternoon,FTG-517-LKI-191,B-102,Express,Medium,110,100,"13.042660878688794, 77.47580097259879",34,KA95GH4467,Fraud,1,,,
762,9/14/2023,16:30,Afternoon,FTG-518-UYT-801,A-101,Regular,Medium,100,100,"13.042660878688794, 77.47580097259879",35,KA98IJ8801,Not Fraud,0,,,
763,10/19/2023,18:45,Evening,FTG-519-FRD-591,B-102,Express,Large,130,130,"13.042660878688794, 77.47580097259879",36,KA01KL2345,Not Fraud,0,,,
764,11/24/2023,21:00,Evening,FTG-520-TYU-221,C-103,Regular,Large,290,290,"13.042660878688794, 77.47580097259879",37,KA04MN6789,Not Fraud,0,,,
765,12/30/2023,23:15,Evening,FTG-521-BVC-981,A-101,Express,Small,60,100,"13.042660878688794, 77.47580097259879",38,KA07OP0123,Fraud,1,,,
766,2/14/2023,01:30,Midnight,,D-106,Regular,Small,0,0,"13.042660878688794, 77.47580097259879",39,KA10QR4565,Not Fraud,0,,,
767,3/20/2023,03:45,Midnight,FTG-523-NMK-322,C-103,Express,Large,290,290,"13.042660878688794, 77.47580097259879",65,KA13ST8901,Not Fraud,0,,,
768,4/25/2023,06:00,Midnight,FTG-524-CDE-092,B-102,Regular,Medium,110,90,"13.042660878688794, 77.47580097259879",76,KA16UV2345,Fraud,1,,,
769,5/31/2023,08:15,Morning,FTG-525-VBN-762,A-101,Express,Medium,100,100,"13.042660878688794, 77.47580097259879",89,KA19WX6789,Not Fraud,0,,,
770,07-05-2023 00:00,10:30,Morning,FTG-526-PLM-422,B-102,Regular,Large,130,130,"13.042660878688794, 77.47580097259879",45,KA22YZ0123,Not Fraud,0,,,
771,08-10-2023 00:00,12:45,Afternoon,FTG-430-IJK-570,C-103,Express,Large,290,290,"13.042660878688794, 77.47580097259879",56,KA25AB2345,Not Fraud,0,,,
772,9/15/2023,15:00,Afternoon,FTG-680-RST-830,A-101,Regular,Small,60,60,"13.042660878688794, 77.47580097259879",67,KA28CD6789,Not Fraud,0,,,
773,10/20/2023,17:15,Afternoon,,D-106,Regular,Small,0,0,"13.042660878688794, 77.47580097259879",87,KA31EF0123,Not Fraud,0,,,
774,11/25/2023,19:30,Evening,FTG-530-LPO-212,C-103,Regular,Large,290,290,"13.042660878688794, 77.47580097259879",45,KA34GH4567,Not Fraud,0,,,
775,12/31/2023,21:45,Evening,FTG-531-ZAS-982,B-102,Express,Medium,110,110,"13.042660878688794, 77.47580097259879",34,KA37IJ8901,Not Fraud,0,,,
776,2/16/2023,00:00,#N/A,FTG-532-IXC-651,A-101,Regular,Medium,100,100,"13.042660878688794, 77.47580097259879",78,KA40KL2345,Not Fraud,0,,,
777,3/22/2023,02:15,Midnight,FTG-150-XYZ-460,B-102,Express,Large,130,130,"13.042660878688794, 77.47580097259879",45,KA43MN6789,Not Fraud,0,,,
778,4/27/2023,04:30,Midnight,FTG-534-RFV-091,C-103,Regular,Large,290,100,"13.042660878688794, 77.47580097259879",87,KA46OP0123,Fraud,1,,,
779,06-02-2023 00:00,06:45,Morning,FTG-490-PQR-720,A-101,Express,Small,60,0,"13.042660878688794, 77.47580097259879",66,KA49QR4567,Fraud,1,,,
780,07-07-2023 00:00,09:00,Morning,,D-106,Regular,Small,0,0,"13.042660878688794, 77.47580097259879",89,KA52ST8901,Not Fraud,0,,,
781,08-12-2023 00:00,11:15,Morning,FTG-537-NJI-101,C-103,Express,Large,290,290,"13.042660878688794, 77.47580097259879",65,KA55UV2345,Not Fraud,0,,,
782,9/17/2023,13:30,Afternoon,FTG-740-ABC-360,B-102,Regular,Medium,110,110,"13.042660878688794, 77.47580097259879",34,KA58WX6789,Not Fraud,0,,,
783,10/22/2023,15:45,Afternoon,FTG-539-UTY-542,A-101,Express,Medium,100,100,"13.042660878688794, 77.47580097259879",98,KA61YZ0123,Not Fraud,0,,,
784,11/27/2023,18:00,Afternoon,FTG-540-POU-212,B-102,Regular,Large,130,110,"13.042660878688794, 77.47580097259879",22,KA64AB2345,Fraud,1,,,
785,01-01-2023 00:00,20:15,Evening,FTG-541-ZXC-994,C-103,Express,Large,290,100,"13.042660878688794, 77.47580097259879",23,KA67CD6789,Fraud,1,,,
786,2/17/2023,22:30,Evening,FTG-542-VBN-653,A-101,Regular,Small,60,60,"13.042660878688794, 77.47580097259879",10,KA70EF0123,Not Fraud,0,,,
787,3/24/2023,00:45,Midnight,,D-106,Regular,Small,0,0,"13.042660878688794, 77.47580097259879",67,KA73GH4567,Not Fraud,0,,,
788,4/29/2023,03:00,Midnight,FTG-544-MKH-092,C-103,Regular,Large,290,290,"13.042660878688794, 77.47580097259879",87,KA76IJ8901,Not Fraud,0,,,
789,06-04-2023 00:00,05:15,Midnight,FTG-545-DCF-762,B-102,Express,Medium,110,110,"13.042660878688794, 77.47580097259879",65,KA79KL2345,Not Fraud,0,,,
790,07-09-2023 00:00,07:30,Morning,FTG-546-POI-431,A-101,Regular,Medium,100,100,"13.042660878688794, 77.47580097259879",34,KA82MN6789,Not Fraud,0,,,
791,8/14/2023,09:45,Morning,FTG-400-DEF-920,B-102,Express,Large,130,100,"13.042660878688794, 77.47580097259879",87,KA85OP0123,Fraud,1,,,
792,9/19/2023,12:00,Morning,FTG-548-JKL-871,C-103,Regular,Large,290,290,"13.042660878688794, 77.47580097259879",35,KA88QR4567,Not Fraud,0,,,
793,10/24/2023,14:15,Afternoon,FTG-549-RFD-541,A-101,Express,Small,60,60,"13.042660878688794, 77.47580097259879",32,KA91ST8901,Not Fraud,0,,,
794,11/29/2023,16:30,Afternoon,,D-106,Regular,Small,0,0,"13.042660878688794, 77.47580097259879",76,KA94UV2345,Not Fraud,0,,,
795,01-03-2023 00:00,18:45,Evening,FTG-551-YUI-981,C-103,Express,Large,290,290,"13.042660878688794, 77.47580097259879",34,KA97WX6789,Not Fraud,0,,,
796,02-08-2023 00:00,21:00,Evening,FTG-552-BVC-652,B-102,Regular,Medium,110,60,"13.042660878688794, 77.47580097259879",65,KA02YZ0223,Fraud,1,,,
797,3/15/2023,23:15,Evening,FTG-553-NBH-322,A-101,Express,Medium,100,60,"13.042660878688794, 77.47580097259879",23,KA05AB2845,Fraud,1,,,
798,4/21/2023,01:30,Midnight,FTG-554-KJH-091,B-102,Regular,Large,130,130,"13.042660878688794, 77.47580097259879",65,KA08CD6779,Not Fraud,0,,,
799,5/26/2023,03:45,Midnight,FTG-555-EDC-762,C-103,Express,Large,290,290,"13.042660878688794, 77.47580097259879",34,KA11EF0143,Not Fraud,0,,,
800,07-01-2023 00:00,06:00,Midnight,FTG-556-LMK-431,A-101,Regular,Small,60,60,"13.042660878688794, 77.47580097259879",76,KA14GH4557,Not Fraud,0,,,
801,08-06-2023 00:00,08:15,Morning,,D-106,Regular,Small,0,0,"13.042660878688794, 77.47580097259879",45,KA17IJ8991,Not Fraud,0,,,
802,09-11-2023 00:00,10:30,Morning,FTG-558-VFR-872,C-103,Regular,Large,290,290,"13.042660878688794, 77.47580097259879",67,KA20KL2335,Not Fraud,0,,,
803,10/16/2023,12:45,Afternoon,FTG-559-WSX-542,B-102,Express,Medium,110,110,"13.042660878688794, 77.47580097259879",45,KA23MN6759,Not Fraud,0,,,
804,11/21/2023,15:00,Afternoon,FTG-650-HGT-180,A-101,Regular,Medium,100,90,"13.042660878688794, 77.47580097259879",76,KA26OP0113,Fraud,1,,,
805,12/26/2023,17:15,Afternoon,FTG-561-POU-982,B-102,Express,Large,130,130,"13.042660878688794, 77.47580097259879",45,KA29QR4537,Not Fraud,0,,,
806,02-09-2023 00:00,19:30,Evening,FTG-562-NJH-651,C-103,Regular,Large,290,90,"13.042660878688794, 77.47580097259879",76,KA32ST8921,Fraud,1,,,
807,3/16/2023,21:45,Evening,FTG-563-ZXC-325,A-101,Express,Small,60,60,"13.042660878688794, 77.47580097259879",45,KA35UV2335,Not Fraud,0,,,
808,4/22/2023,00:00,#N/A,,D-106,Regular,Small,0,0,"13.042660878688794, 77.47580097259879",76,KA38WX6779,Not Fraud,0,,,
809,5/28/2023,02:15,Midnight,FTG-565-LKJ-744,C-103,Express,Large,290,290,"13.042660878688794, 77.47580097259879",45,KA41YZ0223,Not Fraud,0,,,
810,07-02-2023 00:00,04:30,Midnight,FTG-566-HGT-434,B-102,Regular,Medium,110,100,"13.042660878688794, 77.47580097259879",65,KA44AB2325,Fraud,1,,,
811,08-07-2023 00:00,06:45,Morning,FTG-567-MKF-104,A-101,Express,Medium,100,100,"13.042660878688794, 77.47580097259879",98,KA47CD6729,Not Fraud,0,,,
812,09-12-2023 00:00,09:00,Morning,FTG-910-UVW-540,B-102,Regular,Large,130,130,"13.042660878688794, 77.47580097259879",76,KA50EF0133,Not Fraud,0,,,
813,10/17/2023,11:15,Morning,FTG-569-NBH-544,C-103,Express,Large,290,290,"13.042660878688794, 77.47580097259879",65,KA53GH4467,Not Fraud,0,,,
814,11/22/2023,13:30,Afternoon,FTG-570-POI-214,A-101,Regular,Small,60,60,"13.042660878688794, 77.47580097259879",88,KA56IJ4901,Not Fraud,0,,,
815,12/27/2023,15:45,Afternoon,,D-106,Regular,Small,0,0,"13.042660878688794, 77.47580097259879",76,KA59KL2445,Not Fraud,0,,,
816,02-11-2023 00:00,18:00,Afternoon,FTG-572-QAZ-653,C-103,Regular,Large,290,290,"13.042660878688794, 77.47580097259879",56,KA62MN6489,Not Fraud,0,,,
817,3/17/2023,20:15,Evening,FTG-470-MNO-890,B-102,Express,Medium,110,110,"13.042660878688794, 77.47580097259879",86,KA65OP0423,Not Fraud,0,,,
818,4/22/2023,22:30,Evening,FTG-574-VFR-093,A-101,Regular,Medium,100,90,"13.042660878688794, 77.47580097259879",98,KA68QR4467,Fraud,1,,,
819,5/29/2023,00:45,Midnight,FTG-575-YUI-764,B-102,Express,Large,130,130,"13.042660878688794, 77.47580097259879",67,KA71ST8941,Not Fraud,0,,,
820,07-03-2023 00:00,03:00,Midnight,FTG-576-CDE-433,C-103,Regular,Large,290,290,"13.042660878688794, 77.47580097259879",98,KA74UV2445,Not Fraud,0,,,
821,08-08-2023 00:00,05:15,Midnight,FTG-577-LMK-103,A-101,Express,Small,60,0,"13.042660878688794, 77.47580097259879",67,KA77WX6449,Fraud,1,,,
822,9/13/2023,07:30,Morning,,D-106,Regular,Small,0,0,"13.042660878688794, 77.47580097259879",56,KA80YZ0143,Not Fraud,0,,,
823,10/18/2023,09:45,Morning,FTG-579-RFD-542,C-103,Express,Large,290,0,"13.042660878688794, 77.47580097259879",87,KA83AB2145,Fraud,1,,,
824,11/23/2023,12:00,Morning,FTG-580-TGB-212,B-102,Regular,Medium,110,110,"13.042660878688794, 77.47580097259879",56,KA86CD6799,Not Fraud,0,,,
825,12/28/2023,14:15,Afternoon,FTG-720-IJK-420,A-101,Express,Medium,100,100,"13.042660878688794, 77.47580097259879",87,KA89EF0193,Not Fraud,0,,,
826,02-12-2023 00:00,16:30,Afternoon,FTG-582-XCV-652,B-102,Regular,Large,130,130,"13.042660878688794, 77.47580097259879",67,KA92GH4557,Not Fraud,0,,,
827,3/18/2023,18:45,Evening,FTG-190-RST-750,C-103,Express,Large,290,290,"13.042660878688794, 77.47580097259879",76,KA95IJ8801,Not Fraud,0,,,
828,4/23/2023,21:00,Evening,FTG-584-POU-092,A-101,Regular,Small,60,60,"13.042660878688794, 77.47580097259879",56,KA98KL1345,Not Fraud,0,,,
829,5/30/2023,23:15,Evening,,D-106,Regular,Small,0,0,"13.042660878688794, 77.47580097259879",98,KA02YZ6289,Not Fraud,0,,,
830,07-05-2023 00:00,01:30,Midnight,FTG-586-PLM-431,C-103,Regular,Large,290,290,"13.042660878688794, 77.47580097259879",56,KA05AB0123,Not Fraud,0,,,
831,08-10-2023 00:00,03:45,Midnight,FTG-587-HGT-101,B-102,Express,Medium,110,60,"13.042660878688794, 77.47580097259879",45,KA08CD4567,Fraud,1,,,
832,9/15/2023,06:00,Midnight,FTG-588-WSX-874,A-101,Regular,Medium,100,90,"13.042660878688794, 77.47580097259879",55,KA11EF8901,Fraud,1,,,
833,10/20/2023,08:15,Morning,FTG-589-QAZ-544,B-102,Express,Large,130,130,"13.042660878688794, 77.47580097259879",76,KA14GH2145,Not Fraud,0,,,
834,11/25/2023,10:30,Morning,FTG-590-RFD-213,C-103,Regular,Large,290,290,"13.042660878688794, 77.47580097259879",45,KA17IJ6789,Not Fraud,0,,,
835,01-01-2023 00:00,12:45,Afternoon,FTG-591-YUI-982,A-101,Express,Small,60,60,"13.042660878688794, 77.47580097259879",76,KA20KL0123,Not Fraud,0,,,
836,11/23/2023,00:00,#N/A,,D-106,Regular,Small,0,0,"13.042660878688794, 77.47580097259879",45,KA23MN4567,Not Fraud,0,,,
837,12/28/2023,02:15,Midnight,FTG-593-NBH-322,C-103,Express,Large,290,290,"13.042660878688794, 77.47580097259879",76,KA26OP8901,Not Fraud,0,,,
838,02-12-2023 00:00,04:30,Midnight,FTG-594-KJH-092,B-102,Regular,Medium,110,110,"13.042660878688794, 77.47580097259879",90,KA29QR2345,Not Fraud,0,,,
839,3/18/2023,06:45,Morning,FTG-595-EDC-715,A-101,Express,Medium,100,90,"13.042660878688794, 77.47580097259879",78,KA32ST6789,Fraud,1,,,
840,4/23/2023,09:00,Morning,FTG-596-LMK-431,B-102,Regular,Large,130,100,"13.042660878688794, 77.47580097259879",76,KA35UV0113,Fraud,1,,,
841,5/29/2023,11:15,Morning,FTG-597-PLN-102,C-103,Express,Large,290,290,"13.042660878688794, 77.47580097259879",89,KA38WX3456,Not Fraud,0,,,
842,07-03-2023 00:00,13:30,Afternoon,FTG-540-XYZ-210,A-101,Regular,Small,60,60,"13.042660878688794, 77.47580097259879",90,KA41YZ6789,Not Fraud,0,,,
843,08-08-2023 00:00,15:45,Afternoon,,D-106,Regular,Small,0,0,"13.042660878688794, 77.47580097259879",80,KA44AB0123,Not Fraud,0,,,
844,9/13/2023,18:00,Afternoon,FTG-600-QAZ-211,C-103,Regular,Large,290,290,"13.042660878688794, 77.47580097259879",70,KA47CD4567,Not Fraud,0,,,
845,10/18/2023,20:15,Evening,FTG-697-PLN-101,B-102,Express,Medium,110,110,"13.042660878688794, 77.47580097259879",60,KA50EF8901,Not Fraud,0,,,
846,11/23/2023,22:30,Evening,FTG-698-VFR-871,A-101,Regular,Medium,100,60,"13.042660878688794, 77.47580097259879",56,KA35UV0123,Fraud,1,,,
847,12/29/2023,00:45,Midnight,FTG-790-PQR-680,B-102,Express,Large,130,130,"13.042660878688794, 77.47580097259879",45,KA56IJ6789,Not Fraud,0,,,
848,2/13/2023,03:00,Midnight,FTG-700-QAZ-211,C-103,Regular,Large,290,290,"13.042660878688794, 77.47580097259879",55,KA59KL0123,Not Fraud,0,,,
849,3/19/2023,05:15,Midnight,FTG-350-ABC-395,A-101,Express,Small,60,90,"13.042660878688794, 77.47580097259879",65,KA62MN4567,Fraud,1,,,
850,4/24/2023,07:30,Morning,,D-106,Regular,Small,0,0,"13.042660878688794, 77.47580097259879",76,KA65OP8901,Not Fraud,0,,,
851,5/30/2023,09:45,Morning,FTG-703-PQR-322,C-103,Express,Large,290,290,"13.042660878688794, 77.47580097259879",87,KA68QR2345,Not Fraud,0,,,
852,07-04-2023 00:00,12:00,Morning,FTG-600-DEF-850,B-102,Regular,Medium,110,110,"13.042660878688794, 77.47580097259879",98,KA71ST6789,Not Fraud,0,,,
853,08-09-2023 00:00,14:15,Afternoon,FTG-705-LMN-764,A-101,Express,Medium,100,100,"13.042660878688794, 77.47580097259879",45,KA74UV0123,Not Fraud,0,,,
854,9/14/2023,16:30,Afternoon,FTG-706-GHI-433,B-102,Regular,Large,130,130,"13.042660878688794, 77.47580097259879",35,KA77WX3456,Not Fraud,0,,,
855,10/19/2023,18:45,Evening,FTG-707-JKL-107,C-103,Express,Large,290,90,"13.042660878688794, 77.47580097259879",24,KA80YZ6789,Fraud,1,,,
856,11/24/2023,21:00,Evening,FTG-708-UVW-877,A-101,Regular,Small,60,60,"13.042660878688794, 77.47580097259879",25,KA83AB0123,Not Fraud,0,,,
857,12/30/2023,23:15,Evening,,D-106,Regular,Small,0,0,"13.042660878688794, 77.47580097259879",77,KA86CD4567,Not Fraud,0,,,
858,2/14/2023,01:30,Midnight,FTG-710-MNO-216,C-103,Regular,Large,290,290,"13.042660878688794, 77.47580097259879",78,KA89EF8901,Not Fraud,0,,,
859,3/20/2023,03:45,Midnight,FTG-711-QWE-986,B-102,Express,Medium,110,110,"13.042660878688794, 77.47580097259879",90,KA92GH2345,Not Fraud,0,,,
860,4/25/2023,06:00,Midnight,FTG-712-ZXC-653,A-101,Regular,Medium,100,100,"13.042660878688794, 77.47580097259879",89,KA95IJ6789,Not Fraud,0,,,
861,5/31/2023,08:15,Morning,FTG-713-POI-328,B-102,Express,Large,130,130,"13.042660878688794, 77.47580097259879",85,KA98KL0123,Not Fraud,0,,,
862,07-05-2023 00:00,10:30,Morning,FTG-714-KJH-099,C-103,Regular,Large,290,290,"13.042660878688794, 77.47580097259879",65,KA01MN4467,Not Fraud,0,,,
863,08-10-2023 00:00,12:45,Afternoon,FTG-715-DCV-764,A-101,Express,Small,60,60,"13.042660878688794, 77.47580097259879",45,KA04OP8901,Not Fraud,0,,,
864,9/15/2023,15:00,Afternoon,,D-106,Regular,Small,0,0,"13.042660878688794, 77.47580097259879",65,KA07QR2345,Not Fraud,0,,,
865,10/20/2023,17:15,Afternoon,FTG-717-LKI-103,C-103,Express,Large,290,290,"13.042660878688794, 77.47580097259879",45,KA10ST6789,Not Fraud,0,,,
866,11/25/2023,19:30,Evening,FTG-220-HGT-120,B-102,Regular,Medium,110,110,"13.042660878688794, 77.47580097259879",76,KA13UV0123,Not Fraud,0,,,
867,12/31/2023,21:45,Evening,FTG-719-FRD-542,A-101,Express,Medium,100,90,"13.042660878688794, 77.47580097259879",45,KA16WX3456,Fraud,1,,,
868,2/16/2023,00:00,#N/A,FTG-720-TYU-212,B-102,Regular,Large,130,100,"13.042660878688794, 77.47580097259879",77,KA19YZ6789,Fraud,1,,,
869,3/22/2023,02:15,Midnight,FTG-480-UVW-690,C-103,Express,Large,290,290,"13.042660878688794, 77.47580097259879",88,KA22AB0123,Not Fraud,0,,,
870,4/27/2023,04:30,Midnight,FTG-722-XSW-652,A-101,Regular,Small,60,0,"13.042660878688794, 77.47580097259879",23,KA25CD4567,Fraud,1,,,
871,06-02-2023 00:00,06:45,Morning,,D-106,Regular,Small,0,0,"13.042660878688794, 77.47580097259879",34,KA28EF8901,Not Fraud,0,,,
872,07-07-2023 00:00,09:00,Morning,FTG-724-CDE-095,C-103,Regular,Large,290,60,"13.042660878688794, 77.47580097259879",65,KA31GH2345,Fraud,1,,,
873,08-12-2023 00:00,11:15,Morning,FTG-725-VBN-763,B-102,Express,Medium,110,110,"13.042660878688794, 77.47580097259879",45,KA34IJ6789,Not Fraud,0,,,
874,9/17/2023,13:30,Afternoon,FTG-730-MNO-250,A-101,Regular,Medium,100,100,"13.042660878688794, 77.47580097259879",76,KA37KL0123,Not Fraud,0,,,
875,10/22/2023,15:45,Afternoon,FTG-727-HGT-102,B-102,Express,Large,130,130,"13.042660878688794, 77.47580097259879",54,KA40MN4567,Not Fraud,0,,,
876,11/27/2023,18:00,Afternoon,FTG-728-WSX-872,C-103,Regular,Large,290,100,"13.042660878688794, 77.47580097259879",66,KA43OP8901,Fraud,1,,,
877,01-01-2023 00:00,20:15,Evening,FTG-400-IJK-570,A-101,Express,Small,60,60,"13.042660878688794, 77.47580097259879",66,KA46QR2345,Not Fraud,0,,,
878,2/17/2023,22:30,Evening,,D-106,Regular,Small,0,0,"13.042660878688794, 77.47580097259879",55,KA49ST6789,Not Fraud,0,,,
879,3/24/2023,00:45,Midnight,FTG-650-RST-830,C-103,Express,Large,290,290,"13.042660878688794, 77.47580097259879",77,KA52UV0123,Not Fraud,0,,,
880,4/29/2023,03:00,Midnight,FTG-732-IXC-652,B-102,Regular,Medium,110,110,"13.042660878688794, 77.47580097259879",44,KA55WX3456,Not Fraud,0,,,
881,06-04-2023 00:00,05:15,Midnight,FTG-733-JOP-322,A-101,Express,Medium,100,100,"13.042660878688794, 77.47580097259879",60,KA58YZ6789,Not Fraud,0,,,
882,07-09-2023 00:00,07:30,Morning,FTG-120-XYZ-460,B-102,Regular,Large,130,90,"13.042660878688794, 77.47580097259879",70,KA61AB0123,Fraud,1,,,
883,8/14/2023,09:45,Morning,FTG-735-EDC-763,C-103,Express,Large,290,290,"13.042660878688794, 77.47580097259879",77,KA64CD4567,Not Fraud,0,,,
884,9/19/2023,12:00,Morning,FTG-736-OKM-431,A-101,Regular,Small,60,60,"13.042660878688794, 77.47580097259879",55,KA67EF8401,Not Fraud,0,,,
885,10/24/2023,14:15,Afternoon,,D-106,Regular,Small,0,0,"13.042660878688794, 77.47580097259879",65,KA70GH2345,Not Fraud,0,,,
886,11/29/2023,16:30,Afternoon,FTG-738-LKJ-872,C-103,Regular,Large,290,290,"13.042660878688794, 77.47580097259879",75,KA73IJ6789,Not Fraud,0,,,
887,01-03-2023 00:00,18:45,Evening,FTG-739-UTY-542,B-102,Express,Medium,110,90,"13.042660878688794, 77.47580097259879",85,KA76KL0123,Fraud,1,,,
888,02-08-2023 00:00,21:00,Evening,FTG-740-POU-211,A-101,Regular,Medium,100,100,"13.042660878688794, 77.47580097259879",95,KA79MN4567,Not Fraud,0,,,
889,3/15/2023,23:15,Evening,FTG-741-ZXC-981,B-102,Express,Large,130,130,"13.042660878688794, 77.47580097259879",90,KA82OP8901,Not Fraud,0,,,
890,4/21/2023,01:30,Midnight,FTG-742-VBN-651,C-103,Regular,Large,290,100,"13.042660878688794, 77.47580097259879",88,KA85QR2345,Fraud,1,,,
891,5/26/2023,03:45,Midnight,FTG-460-PQR-720,A-101,Express,Small,60,60,"13.042660878688794, 77.47580097259879",90,KA88ST6789,Not Fraud,0,,,
892,07-01-2023 00:00,06:00,Midnight,,D-106,Regular,Small,0,0,"13.042660878688794, 77.47580097259879",90,KA91UV0123,Not Fraud,0,,,
893,08-06-2023 00:00,08:15,Morning,FTG-745-DCF-762,C-103,Express,Large,290,290,"13.042660878688794, 77.47580097259879",78,KA94WX3456,Not Fraud,0,,,
894,09-11-2023 00:00,10:30,Morning,FTG-710-ABC-360,B-102,Regular,Medium,110,90,"13.042660878688794, 77.47580097259879",78,KA97YZ6789,Fraud,1,,,
895,10/16/2023,12:45,Afternoon,FTG-747-XCV-102,A-101,Express,Medium,100,100,"13.042660878688794, 77.47580097259879",89,KA02AB0123,Not Fraud,0,,,
896,11/21/2023,15:00,Afternoon,FTG-748-JKL-872,B-102,Regular,Large,130,130,"13.042660878688794, 77.47580097259879",99,KA05CD4567,Not Fraud,0,,,
897,12/26/2023,17:15,Afternoon,FTG-749-RFD-542,C-103,Express,Large,290,110,"13.042660878688794, 77.47580097259879",98,KA08EF8901,Fraud,1,,,
898,02-09-2023 00:00,19:30,Evening,FTG-370-DEF-920,A-101,Regular,Small,60,60,"13.042660878688794, 77.47580097259879",76,KA11GH2345,Not Fraud,0,,,
899,3/16/2023,21:45,Evening,,D-106,Regular,Small,0,0,"13.042660878688794, 77.47580097259879",68,KA14IJ6789,Not Fraud,0,,,
900,4/22/2023,00:00,#N/A,FTG-752-BVC-652,C-103,Regular,Large,290,290,"13.042660878688794, 77.47580097259879",45,KA17KL0123,Not Fraud,0,,,
901,5/28/2023,02:15,Midnight,FTG-620-HGT-180,B-102,Express,Medium,110,0,"13.042660878688794, 77.47580097259879",23,KA20MN4567,Fraud,1,,,
902,07-02-2023 00:00,04:30,Midnight,FTG-754-KJH-092,A-101,Regular,Medium,100,60,"13.042660878688794, 77.47580097259879",35,KA23OP8901,Fraud,1,,,
903,08-07-2023 00:00,06:45,Morning,FTG-755-EDC-761,B-102,Express,Large,130,130,"13.042660878688794, 77.47580097259879",75,KA26QR2345,Not Fraud,0,,,
904,09-12-2023 00:00,09:00,Morning,FTG-756-LMK-436,C-103,Regular,Large,290,290,"13.042660878688794, 77.47580097259879",80,KA29ST6789,Not Fraud,0,,,
905,10/17/2023,11:15,Morning,FTG-757-PLN-102,A-101,Express,Small,60,100,"13.042660878688794, 77.47580097259879",88,KA32UV0123,Fraud,1,,,
906,11/22/2023,13:30,Afternoon,,D-106,Regular,Small,0,0,"13.042660878688794, 77.47580097259879",76,KA35WX3456,Not Fraud,0,,,
907,12/27/2023,15:45,Afternoon,FTG-759-WSX-542,C-103,Express,Large,290,90,"13.042660878688794, 77.47580097259879",75,KA38YZ6789,Fraud,1,,,
